1.4735e-05,23.949,24.927,26.393,25.415,25.415,21.994
0.15484,23.949,24.927,35.679,25.415,25.415,21.994
0.33813,23.949,24.927,42.522,25.415,25.415,21.994
0.52831,23.949,24.927,44.477,25.415,25.415,21.994
0.71323,23.949,24.927,44.477,25.415,25.415,21.994
0.90199,23.949,24.927,45.455,25.415,25.415,21.505
1.0984,23.949,24.927,44.966,25.415,25.415,21.994
1.2841,23.949,24.927,44.477,25.415,25.415,21.994
1.4711,23.949,24.927,44.966,24.927,25.904,21.994
1.6637,23.949,24.927,44.477,24.927,25.415,21.994
1.8558,23.949,24.927,45.455,24.927,25.415,21.994
2.0612,23.949,24.927,44.966,25.415,25.415,21.994
2.2472,23.949,24.927,44.966,25.415,25.415,21.994
2.4357,23.949,24.927,44.966,25.415,25.415,21.994
2.622,23.949,24.927,44.966,24.927,25.415,21.994
2.8094,23.949,24.927,44.966,25.415,25.415,21.994
2.9973,23.949,24.927,44.477,25.415,25.415,21.994
3.194,23.46,24.927,44.966,24.927,25.904,21.505
3.3821,23.949,24.927,44.477,25.415,25.415,21.994
3.5652,23.949,24.927,44.477,25.415,25.415,21.994
3.7523,23.949,24.927,44.477,25.415,25.415,21.994
3.9404,23.949,24.927,44.477,25.415,25.415,21.994
4.1296,23.949,24.927,44.966,25.415,25.904,21.994
4.3251,23.949,24.927,44.966,25.415,25.904,21.994
4.5141,23.949,24.927,44.966,25.415,25.904,21.994
4.7074,23.949,24.927,38.123,25.415,25.904,21.994
4.8918,23.949,24.927,24.438,24.927,25.415,21.994
5.0813,23.949,24.927,24.438,25.415,25.904,21.994
5.2706,23.949,24.927,24.438,24.438,25.904,21.994
5.468,23.949,24.927,24.927,24.927,25.904,21.994
5.6624,23.949,24.438,23.46,25.904,25.415,21.994
5.8569,23.949,24.927,23.949,25.415,25.904,21.994
6.0442,23.949,24.927,24.927,25.415,25.415,21.994
6.2286,23.949,24.927,24.438,25.415,25.904,21.994
6.4188,23.949,24.927,24.438,24.927,25.904,21.994
6.6075,23.949,24.927,24.438,25.415,25.904,21.994
6.7978,23.949,24.927,24.438,25.415,25.904,21.994
6.9825,23.949,24.927,29.326,25.415,25.904,21.994
7.172,24.438,24.927,40.567,25.415,25.904,21.994
7.3638,23.949,24.927,43.011,25.415,25.904,21.994
